~/NCKH 2022/haar gui/img_0.jpg,20,10
~/NCKH 2022/haar gui/img_1.jpg,20,10
~/NCKH 2022/haar gui/img_2.jpg,20,10
~/NCKH 2022/haar gui/img_3.jpg,20,10
~/NCKH 2022/haar gui/img_4.jpg,20,10
~/NCKH 2022/haar gui/img_5.jpg,20,10
~/NCKH 2022/haar gui/img_6.jpg,20,10
~/NCKH 2022/haar gui/img_7.jpg,20,10
~/NCKH 2022/haar gui/img_8.jpg,20,10
~/NCKH 2022/haar gui/img_9.jpg,20,10
~/NCKH 2022/haar gui/img_10.jpg,20,10
~/NCKH 2022/haar gui/img_11.jpg,20,10
~/NCKH 2022/haar gui/img_12.jpg,20,10
~/NCKH 2022/haar gui/img_13.jpg,20,10
~/NCKH 2022/haar gui/img_14.jpg,20,10
~/NCKH 2022/haar gui/img_15.jpg,20,10
~/NCKH 2022/haar gui/img_16.jpg,20,10
~/NCKH 2022/haar gui/img_17.jpg,20,10
~/NCKH 2022/haar gui/img_18.jpg,20,10
~/NCKH 2022/haar gui/img_19.jpg,20,10
~/NCKH 2022/haar gui/img_20.jpg,20,10
~/NCKH 2022/haar gui/img_21.jpg,20,10
~/NCKH 2022/haar gui/img_22.jpg,20,10
~/NCKH 2022/haar gui/img_23.jpg,20,10
~/NCKH 2022/haar gui/img_24.jpg,20,10
~/NCKH 2022/haar gui/img_25.jpg,20,10
~/NCKH 2022/haar gui/img_26.jpg,20,10
~/NCKH 2022/haar gui/img_27.jpg,20,10
~/NCKH 2022/haar gui/img_28.jpg,20,10
~/NCKH 2022/haar gui/img_29.jpg,20,10
~/NCKH 2022/haar gui/img_30.jpg,20,10
~/NCKH 2022/haar gui/img_31.jpg,20,10
~/NCKH 2022/haar gui/img_32.jpg,20,10
~/NCKH 2022/haar gui/img_33.jpg,20,10
~/NCKH 2022/haar gui/img_34.jpg,20,10
~/NCKH 2022/haar gui/img_35.jpg,20,10
~/NCKH 2022/haar gui/img_36.jpg,20,10
~/NCKH 2022/haar gui/img_37.jpg,20,10
~/NCKH 2022/haar gui/img_38.jpg,20,10
~/NCKH 2022/haar gui/img_39.jpg,20,10
~/NCKH 2022/haar gui/img_40.jpg,20,10
~/NCKH 2022/haar gui/img_41.jpg,20,10
~/NCKH 2022/haar gui/img_42.jpg,20,10
~/NCKH 2022/haar gui/img_43.jpg,20,10
~/NCKH 2022/haar gui/img_44.jpg,20,10
~/NCKH 2022/haar gui/img_45.jpg,20,10
~/NCKH 2022/haar gui/img_46.jpg,20,10
